time,open,high,low,close,volume
2025-07-17 04:35:00+00:00,1.16193,1.16213,1.16189,1.16205,0.0
2025-07-17 04:40:00+00:00,1.16206,1.16221,1.16199,1.16207,0.0
2025-07-17 04:45:00+00:00,1.16214,1.16222,1.16207,1.16212,0.0
2025-07-17 04:50:00+00:00,1.16207,1.16244,1.16204,1.162355,0.0
2025-07-17 04:55:00+00:00,1.162355,1.16254,1.16215,1.162395,0.0
2025-07-17 05:00:00+00:00,1.162405,1.16255,1.16234,1.162445,0.0
2025-07-17 05:05:00+00:00,1.162505,1.16278,1.16239,1.162455,0.0
2025-07-17 05:10:00+00:00,1.162465,1.16266,1.16242,1.16261,0.0
2025-07-17 05:15:00+00:00,1.1626,1.16271,1.16253,1.1626,0.0
2025-07-17 05:20:00+00:00,1.16261,1.16275,1.16216,1.16227,0.0
2025-07-17 05:25:00+00:00,1.16229,1.16255,1.16226,1.1625,0.0
2025-07-17 05:30:00+00:00,1.16254,1.16257,1.16236,1.16248,0.0
2025-07-17 05:35:00+00:00,1.16241,1.16247,1.16213,1.16218,0.0
2025-07-17 05:40:00+00:00,1.16217,1.16238,1.16213,1.1623,0.0
2025-07-17 05:45:00+00:00,1.16234,1.1624,1.16214,1.16229,0.0
2025-07-17 05:50:00+00:00,1.16228,1.16246,1.16218,1.16223,0.0
2025-07-17 05:55:00+00:00,1.16222,1.16225,1.16168,1.16173,0.0
2025-07-17 06:00:00+00:00,1.16172,1.16183,1.16121,1.16142,0.0
2025-07-17 06:05:00+00:00,1.16141,1.16181,1.16123,1.1615,0.0
2025-07-17 06:10:00+00:00,1.16149,1.16157,1.16073,1.160875,0.0
2025-07-17 06:15:00+00:00,1.160865,1.16101,1.15974,1.160145,0.0
2025-07-17 06:20:00+00:00,1.160035,1.16009,1.15846,1.15866,0.0
2025-07-17 06:25:00+00:00,1.158675,1.15898,1.1584,1.158505,0.0
2025-07-17 06:30:00+00:00,1.1583,1.15866,1.15776,1.157835,0.0
2025-07-17 06:35:00+00:00,1.157865,1.15839,1.15731,1.15833,0.0
2025-07-17 06:40:00+00:00,1.15836,1.15854,1.15772,1.15789,0.0
2025-07-17 06:45:00+00:00,1.15787,1.15807,1.15776,1.15803,0.0
2025-07-17 06:50:00+00:00,1.158065,1.1586,1.158,1.158495,0.0
2025-07-17 06:55:00+00:00,1.15844,1.15855,1.15814,1.1583,0.0
2025-07-17 07:00:00+00:00,1.15832,1.15842,1.15768,1.1578,0.0
2025-07-17 07:05:00+00:00,1.15779,1.15879,1.1574,1.158625,0.0
2025-07-17 07:10:00+00:00,1.158485,1.15898,1.15841,1.15882,0.0
2025-07-17 07:15:00+00:00,1.1588,1.15893,1.15842,1.15845,0.0
2025-07-17 07:20:00+00:00,1.15857,1.1587,1.15797,1.15858,0.0
2025-07-17 07:25:00+00:00,1.15875,1.15922,1.15867,1.15917,0.0
2025-07-17 07:30:00+00:00,1.15914,1.15935,1.15891,1.15917,0.0
2025-07-17 07:35:00+00:00,1.15917,1.15959,1.15911,1.15922,0.0
2025-07-17 07:40:00+00:00,1.15912,1.15956,1.15875,1.15953,0.0
2025-07-17 07:45:00+00:00,1.15952,1.1597,1.15921,1.15937,0.0
2025-07-17 07:50:00+00:00,1.15932,1.15945,1.15902,1.1591,0.0
2025-07-17 07:55:00+00:00,1.15908,1.15922,1.15877,1.15906,0.0
2025-07-17 08:00:00+00:00,1.15905,1.15933,1.1589,1.15927,0.0
2025-07-17 08:05:00+00:00,1.15925,1.15945,1.15901,1.15926,0.0
2025-07-17 08:10:00+00:00,1.15929,1.15984,1.15923,1.15975,0.0
2025-07-17 08:15:00+00:00,1.15972,1.15999,1.15941,1.15988,0.0
2025-07-17 08:20:00+00:00,1.15986,1.16013,1.15972,1.15992,0.0
2025-07-17 08:25:00+00:00,1.159795,1.16038,1.15972,1.160335,0.0
2025-07-17 08:30:00+00:00,1.160335,1.16057,1.16015,1.16044,0.0
2025-07-17 08:35:00+00:00,1.16037,1.1604,1.15986,1.15997,0.0
2025-07-17 08:40:00+00:00,1.16002,1.16029,1.1599,1.15995,0.0
2025-07-17 08:45:00+00:00,1.15988,1.16005,1.15969,1.16002,0.0
2025-07-17 08:50:00+00:00,1.16002,1.16025,1.15988,1.15991,0.0
2025-07-17 08:55:00+00:00,1.15995,1.16028,1.15984,1.16003,0.0
2025-07-17 09:00:00+00:00,1.16013,1.16054,1.15994,1.16007,0.0
2025-07-17 09:05:00+00:00,1.16019,1.16026,1.15998,1.16002,0.0
2025-07-17 09:10:00+00:00,1.16002,1.16013,1.15978,1.1599,0.0
2025-07-17 09:15:00+00:00,1.15988,1.16003,1.15974,1.15988,0.0
2025-07-17 09:20:00+00:00,1.15989,1.16001,1.15961,1.159685,0.0
2025-07-17 09:25:00+00:00,1.159705,1.15992,1.15965,1.15979,0.0
2025-07-17 09:30:00+00:00,1.15978,1.15998,1.15962,1.15968,0.0
2025-07-17 09:35:00+00:00,1.15963,1.15973,1.15929,1.15968,0.0
2025-07-17 09:40:00+00:00,1.15969,1.16002,1.15966,1.159805,0.0
2025-07-17 09:45:00+00:00,1.159775,1.15987,1.15928,1.15934,0.0
2025-07-17 09:50:00+00:00,1.15933,1.15939,1.15906,1.15923,0.0
2025-07-17 09:55:00+00:00,1.15922,1.15925,1.15886,1.15907,0.0
2025-07-17 10:00:00+00:00,1.15909,1.15912,1.15873,1.15891,0.0
2025-07-17 10:05:00+00:00,1.15892,1.15919,1.15881,1.15903,0.0
2025-07-17 10:10:00+00:00,1.15894,1.15901,1.15854,1.15859,0.0
2025-07-17 10:15:00+00:00,1.1586,1.15863,1.15834,1.15854,0.0
2025-07-17 10:20:00+00:00,1.15842,1.15872,1.15835,1.15868,0.0
2025-07-17 10:25:00+00:00,1.15879,1.15906,1.15867,1.159,0.0
2025-07-17 10:30:00+00:00,1.158945,1.15914,1.15875,1.15878,0.0
2025-07-17 10:35:00+00:00,1.15871,1.15909,1.15866,1.15902,0.0
2025-07-17 10:40:00+00:00,1.15901,1.15907,1.15858,1.15866,0.0
2025-07-17 10:45:00+00:00,1.15868,1.15881,1.15859,1.15877,0.0
2025-07-17 10:50:00+00:00,1.15876,1.15881,1.15846,1.15853,0.0
2025-07-17 10:55:00+00:00,1.15857,1.15865,1.15839,1.15859,0.0
2025-07-17 11:00:00+00:00,1.1586,1.15905,1.15841,1.15884,0.0
2025-07-17 11:05:00+00:00,1.15881,1.15887,1.15858,1.158765,0.0
2025-07-17 11:10:00+00:00,1.158775,1.15888,1.15846,1.15859,0.0
2025-07-17 11:15:00+00:00,1.15858,1.15879,1.15845,1.15858,0.0
2025-07-17 11:20:00+00:00,1.15854,1.15858,1.15799,1.15807,0.0
2025-07-17 11:25:00+00:00,1.15806,1.15811,1.15772,1.15778,0.0
2025-07-17 11:30:00+00:00,1.1578,1.15804,1.15773,1.1579,0.0
2025-07-17 11:35:00+00:00,1.15789,1.15805,1.15773,1.15786,0.0
2025-07-17 11:40:00+00:00,1.15779,1.15802,1.15769,1.15778,0.0
2025-07-17 11:45:00+00:00,1.1578,1.15783,1.15738,1.15742,0.0
2025-07-17 11:50:00+00:00,1.157295,1.15746,1.15699,1.1574,0.0
2025-07-17 11:55:00+00:00,1.15733,1.15767,1.15708,1.15755,0.0
2025-07-17 12:00:00+00:00,1.15747,1.15787,1.15744,1.157695,0.0
2025-07-17 12:05:00+00:00,1.157655,1.15806,1.15741,1.15789,0.0
2025-07-17 12:10:00+00:00,1.157875,1.15849,1.15781,1.15824,0.0
2025-07-17 12:15:00+00:00,1.15828,1.15866,1.15814,1.1585,0.0
2025-07-17 12:20:00+00:00,1.15846,1.15851,1.15825,1.15843,0.0
2025-07-17 12:25:00+00:00,1.15838,1.15847,1.15748,1.15778,0.0
2025-07-17 12:30:00+00:00,1.15777,1.15825,1.15559,1.157385,0.0
2025-07-17 12:35:00+00:00,1.157395,1.15843,1.15709,1.15793,0.0
2025-07-17 12:40:00+00:00,1.1579,1.15852,1.15764,1.158105,0.0
2025-07-17 12:45:00+00:00,1.1581,1.15907,1.15797,1.158985,0.0
2025-07-17 12:50:00+00:00,1.158995,1.1593,1.15864,1.1588,0.0
2025-07-17 12:55:00+00:00,1.15879,1.15911,1.15846,1.15873,0.0
2025-07-17 13:00:00+00:00,1.15872,1.15911,1.15842,1.15882,0.0
2025-07-17 13:05:00+00:00,1.15886,1.15986,1.15877,1.15966,0.0
2025-07-17 13:10:00+00:00,1.15962,1.15986,1.15904,1.15934,0.0
2025-07-17 13:15:00+00:00,1.15927,1.15956,1.1589,1.15893,0.0
2025-07-17 13:20:00+00:00,1.15891,1.15901,1.15845,1.15872,0.0
2025-07-17 13:25:00+00:00,1.15873,1.15896,1.15842,1.15893,0.0
2025-07-17 13:30:00+00:00,1.15888,1.1591,1.15862,1.158705,0.0
2025-07-17 13:35:00+00:00,1.15873,1.15904,1.15845,1.158985,0.0
2025-07-17 13:40:00+00:00,1.158995,1.15936,1.15884,1.15913,0.0
2025-07-17 13:45:00+00:00,1.15915,1.15935,1.15835,1.15858,0.0
2025-07-17 13:50:00+00:00,1.15862,1.15879,1.158,1.15827,0.0
2025-07-17 13:55:00+00:00,1.15828,1.15893,1.15825,1.15865,0.0
